reporting_period,reporting_date,customer_id,total_revenue
Day,2022-05-08,179,10.98
Day,2022-05-08,284,0
Day,2022-07-04,1,6.97
Day,2022-07-04,112,13.97
Day,2022-07-04,496,1.98
Day,2022-07-04,265,2.98
Day,2022-04-09,21,12.98
Day,2022-04-09,366,1.98
Day,2022-07-05,220,1.98
Day,2022-07-05,370,13.98
Day,2022-07-05,526,14.97
Day,2022-07-05,574,12.98
Day,2022-07-05,524,13.98
Day,2022-07-22,59,10.98
Day,2022-07-22,243,6.97
Day,2022-07-22,368,10.98
Day,2022-07-22,13,11.99
Day,2022-07-22,383,10.98
Day,2022-06-21,75,11.97
Day,2022-06-21,200,15.98
Day,2022-06-21,344,4.98
Day,2022-06-21,175,0
Day,2022-05-28,189,14.98
Day,2022-05-28,486,13.98
Day,2022-04-12,42,0
Day,2022-04-12,346,14.98
Day,2022-04-12,550,10.99
Day,2022-04-10,162,2.98
Day,2022-04-10,454,14.98
Day,2022-06-20,331,10.99
Day,2022-06-20,163,10.98
Day,2022-03-29,312,10.98
Day,2022-03-29,382,1.98
Day,2022-03-29,516,0
Day,2022-03-30,208,13.96
Day,2022-03-30,452,10.98
Day,2022-03-30,469,14.98
Day,2022-03-30,337,18.97
Day,2022-06-15,195,11.99
Day,2022-07-15,107,1.98
Day,2022-07-15,435,12.98
Day,2022-03-19,138,4.98
Day,2022-03-19,292,10.99
Day,2022-03-19,470,10.98
Day,2022-03-01,12,4.98
Day,2022-03-01,26,8.97
Day,2022-03-01,431,13.98
Day,2022-03-01,232,10.99
Day,2022-03-15,32,10.98
Day,2022-03-15,550,14.98
Day,2022-03-15,214,12.98
Day,2022-03-15,220,10.99
Day,2022-05-25,338,12.98
Day,2022-05-25,538,13.97
Day,2022-05-20,69,10.98
Day,2022-05-20,569,1.98
Day,2022-05-15,93,13.98
Day,2022-05-15,176,12.98
Day,2022-05-15,209,10.98
Day,2022-05-15,360,12.98
Day,2022-03-05,53,0
Day,2022-03-05,450,4.98
Day,2022-03-05,319,4.98
Day,2022-06-04,569,13.98
Day,2022-06-04,204,13.98
Day,2022-03-03,267,4.98
Day,2022-07-23,306,8.97
Day,2022-07-23,448,10.98
Day,2022-05-16,43,0
Day,2022-05-16,268,10.98
Day,2022-05-16,520,10.99
Day,2022-05-16,484,10.98
Day,2022-05-16,544,10.99
Day,2022-03-08,86,2.98
Day,2022-03-08,329,13.98
Day,2022-03-08,426,1.98
Day,2022-03-08,526,15.98
Day,2022-03-08,591,11.99
Day,2022-07-14,101,15.98
Day,2022-07-14,346,10.98
Day,2022-06-05,469,15.98
Day,2022-06-05,567,1.98
Day,2022-06-01,301,10.99
Day,2022-06-01,418,4.98
Day,2022-02-21,39,13.98
Day,2022-02-21,315,13.98
Day,2022-02-21,380,10.97
Day,2022-02-21,75,8.97
Day,2022-02-21,433,12.98
Day,2022-04-03,42,8.97
Day,2022-04-03,472,13.98
Day,2022-04-03,40,2.98
Day,2022-05-23,469,14.98
Day,2022-05-23,434,10.99
Day,2022-05-23,460,10.99
Day,2022-03-31,579,4.98
Day,2022-06-18,26,10.98
Day,2022-06-18,300,13.98
Day,2022-03-18,459,12.98
Day,2022-03-18,119,15.98
Day,2022-03-18,196,17.98
Day,2022-07-03,526,17.98
Day,2022-04-05,274,12.98
Day,2022-04-05,300,10.99
Day,2022-04-05,388,10.99
Day,2022-03-23,247,15.97
Day,2022-03-23,133,1.98
Day,2022-06-11,306,1.98
Day,2022-06-11,354,4.98
Day,2022-06-11,411,11.97
Day,2022-06-11,576,6.97
Day,2022-06-11,204,11.99
Day,2022-06-11,510,10.98
Day,2022-05-30,457,10.99
Day,2022-07-09,566,6.97
Day,2022-03-07,160,4.98
Day,2022-03-25,172,4.98
Day,2022-03-25,382,12.98
Day,2022-03-25,514,10.98
Day,2022-05-10,127,10.99
